Date,Open,High,Low,Close,Adj Close,Volume
2024-03-01,181.5,187.5,174.0,178.5,178.5,2574000
2024-03-04,178.5,194.0,172.5,188.0,188.0,2427000
2024-03-05,186.0,191.0,177.0,188.0,188.0,2494000
2024-03-06,178.0,185.0,178.0,178.0,178.0,643000
2024-03-07,175.0,175.0,169.0,175.0,175.0,969000
2024-03-08,174.5,174.5,157.5,159.0,159.0,1291000
2024-03-11,162.5,167.5,162.5,165.0,165.0,561000
2024-03-12,168.5,173.0,168.0,173.0,173.0,514000
2024-03-13,176.0,176.0,162.0,164.0,164.0,645000
2024-03-14,164.0,164.0,160.5,162.0,162.0,389000
2024-03-15,160.0,167.0,160.0,167.0,167.0,384000
2024-03-18,167.0,171.5,167.0,169.0,169.0,330000
2024-03-19,171.0,173.5,169.0,173.0,173.0,435000
2024-03-20,177.0,190.0,161.5,185.0,185.0,2514000
2024-03-21,184.0,197.5,182.0,189.0,189.0,2105000
2024-03-22,189.0,192.0,180.0,181.0,181.0,1139000
2024-03-25,181.0,181.0,181.0,181.0,181.0,0
2024-03-26,177.0,187.0,176.0,180.0,180.0,1136000
2024-03-27,185.0,186.5,180.0,180.0,180.0,868000
2024-03-28,181.0,183.5,177.0,179.0,179.0,933000
2024-03-29,178.0,181.0,175.0,178.5,178.5,487000
2024-04-01,180.0,192.0,178.5,191.0,191.0,1868000
2024-04-02,193.0,196.0,187.0,190.5,190.5,1470000
2024-04-03,190.0,198.0,187.0,196.0,196.0,1392000
2024-04-08,196.0,215.5,196.0,215.5,215.5,2198000
2024-04-09,224.0,233.5,195.0,199.5,199.5,4173000
2024-04-10,196.0,207.0,191.0,204.5,204.5,1340000
2024-04-11,204.5,205.0,196.0,196.0,196.0,1192000
2024-04-12,196.0,203.0,195.0,197.5,197.5,628000
2024-04-15,197.5,198.0,190.0,191.0,191.0,953000
2024-04-16,189.0,192.0,183.5,186.5,186.5,1086000
2024-04-17,192.0,198.0,190.0,196.5,196.5,744000
2024-04-18,195.5,195.5,189.0,189.5,189.5,749000
2024-04-19,189.0,190.5,174.0,181.5,181.5,1516000
2024-04-22,180.5,181.0,163.5,166.5,166.5,2145000
2024-04-23,166.5,172.5,166.0,168.0,168.0,792000
2024-04-24,172.0,179.5,169.0,179.0,179.0,532000
2024-04-25,179.0,179.0,170.0,171.5,171.5,644000
2024-04-26,175.0,176.5,169.5,172.0,172.0,466000
