Date,Open,High,Low,Close,Adj Close,Volume
2024-03-01,283.0,295.5,279.0,292.5,289.023681640625,13041744
2024-03-04,297.0,309.0,295.0,296.0,292.4820861816406,12393321
2024-03-05,298.0,306.0,294.0,300.0,296.4345397949219,7582988
2024-03-06,297.5,319.0,294.0,308.0,304.3394470214844,15082702
2024-03-07,314.0,320.0,301.5,302.0,298.4107666015625,11477581
2024-03-08,306.0,309.5,278.0,288.5,285.07122802734375,11653548
2024-03-11,284.0,314.5,280.0,313.5,309.77410888671875,13092354
2024-03-12,312.5,333.0,306.0,315.0,311.2562561035156,20101017
2024-03-13,319.5,323.5,291.5,305.0,301.3751220703125,12484956
2024-03-14,302.5,303.0,290.0,298.5,294.9523620605469,6259174
2024-03-15,295.0,307.5,294.5,297.5,293.9642639160156,5300692
2024-03-18,302.5,327.0,302.5,327.0,323.1136474609375,14910553
2024-03-19,324.0,328.0,316.5,318.5,314.71466064453125,10783315
2024-03-20,324.0,338.5,317.0,320.5,316.6908874511719,14802924
2024-03-21,331.0,352.5,326.0,352.5,348.3105773925781,17246174
2024-03-22,355.5,387.5,354.5,387.5,382.8946228027344,14494795
2024-03-25,395.0,401.0,376.5,390.5,385.85894775390625,22890183
2024-03-26,388.0,400.0,363.5,370.0,365.60260009765625,24257491
2024-03-27,374.0,383.5,363.5,383.0,378.4480895996094,14647492
2024-03-28,378.0,382.5,371.5,379.0,374.4956359863281,9527859
2024-03-29,380.0,383.0,363.5,366.0,361.650146484375,6584000
2024-04-01,368.0,375.0,363.0,363.0,358.685791015625,6345686
2024-04-02,368.5,372.0,356.5,362.0,357.69769287109375,7303037
2024-04-03,359.5,372.0,355.5,364.0,359.6739196777344,7080511
2024-04-08,364.0,381.0,363.5,367.5,363.13232421875,7162772
2024-04-09,368.0,370.0,349.0,359.5,355.2273864746094,8792667
2024-04-10,361.0,364.0,353.5,353.5,349.2987060546875,3444967
2024-04-11,353.5,358.5,348.0,356.0,351.76898193359375,3557404
2024-04-12,356.0,366.0,348.5,360.0,355.721435546875,5083364
2024-04-15,357.0,358.0,331.0,337.5,333.4888610839844,4727364
2024-04-16,333.0,334.5,320.0,327.0,323.1136474609375,3809455
2024-04-17,331.5,351.0,329.0,335.0,331.0185546875,4527888
2024-04-18,330.0,364.0,329.0,364.0,364.0,8199251
2024-04-19,364.0,374.0,334.0,351.5,351.5,13155812
2024-04-22,344.0,359.0,332.5,333.5,333.5,9120692
2024-04-23,342.0,347.5,328.0,329.0,329.0,6257729
2024-04-24,341.0,361.5,341.0,361.5,361.5,6345372
2024-04-25,362.0,375.0,360.5,368.0,368.0,14847380
2024-04-26,384.0,399.0,370.0,383.5,383.5,17828851
2024-04-29,395.0,396.5,384.0,394.0,394.0,10063047
2024-04-30,400.0,433.0,397.0,433.0,433.0,22506045
2024-05-02,431.5,438.0,419.0,423.0,423.0,17652020
2024-05-03,432.0,442.5,413.0,417.0,417.0,13787130
2024-05-06,422.0,423.5,406.0,412.0,412.0,8464783
2024-05-07,415.0,420.0,400.5,409.0,409.0,5929568
2024-05-08,407.0,418.5,399.0,414.5,414.5,2258680
2024-05-09,422.0,430.0,418.0,425.0,425.0,2729291
2024-05-10,430.0,433.0,415.0,422.5,422.5,1474245
2024-05-13,427.0,427.0,417.5,424.0,424.0,791408
2024-05-14,420.0,430.0,419.0,429.0,429.0,1288762
2024-05-15,429.0,436.0,426.5,427.0,427.0,1347605
2024-05-16,437.0,440.0,430.0,437.0,437.0,1788735
2024-05-17,434.5,442.5,434.5,442.5,442.5,1364415
2024-05-20,445.0,445.0,427.0,427.0,427.0,1179210
2024-05-21,426.0,436.0,425.0,436.0,436.0,836421
2024-05-22,434.5,443.5,433.5,439.0,439.0,1112281
2024-05-23,446.5,482.0,446.5,478.0,478.0,3184135
2024-05-24,472.0,501.0,457.0,495.0,495.0,10677655
2024-05-27,500.0,537.0,498.0,511.0,511.0,7418106
2024-05-28,504.0,517.0,493.0,496.0,496.0,5387308
2024-05-29,498.0,504.0,488.0,498.5,498.5,4553362
2024-05-30,492.0,524.0,488.0,501.0,501.0,7006804
2024-05-31,499.5,500.0,490.5,500.0,500.0,911059
2024-06-03,500.0,500.0,491.0,491.0,491.0,518152
2024-06-04,495.0,504.0,492.0,504.0,504.0,260860
2024-06-05,508.0,508.0,466.0,468.0,468.0,1055758
2024-06-06,481.5,481.5,464.0,479.5,479.5,985546
2024-06-07,479.0,492.0,470.0,492.0,492.0,554609
2024-06-11,477.5,482.0,467.0,475.0,475.0,572856
2024-06-12,481.5,481.5,477.0,478.0,478.0,231500
2024-06-13,485.0,488.0,478.5,487.0,487.0,590317
2024-06-14,502.0,505.0,495.0,505.0,505.0,780756
2024-06-17,515.0,533.0,498.5,504.0,504.0,5744630
2024-06-18,507.0,511.0,455.0,474.5,474.5,6289282
2024-06-19,476.0,481.0,462.0,470.0,470.0,3089838
2024-06-20,470.0,486.5,462.0,482.0,482.0,3100550
2024-06-21,481.5,481.5,463.0,464.0,464.0,2392412
2024-06-24,464.0,470.0,453.0,464.0,464.0,3376515
2024-06-25,459.0,472.5,445.0,469.0,469.0,3484544
2024-06-26,469.0,492.0,467.0,486.5,486.5,4683710
2024-06-27,481.5,486.0,474.0,474.0,474.0,2255318
2024-06-28,476.0,493.5,476.0,482.0,482.0,3029553
2024-07-01,479.0,484.0,450.0,450.0,450.0,5373972
2024-07-02,450.0,464.0,445.5,464.0,464.0,2439500
2024-07-03,462.5,505.0,462.5,492.0,492.0,7534729
2024-07-04,499.0,500.0,480.0,482.5,482.5,3825256
2024-07-05,485.0,494.0,478.0,490.0,490.0,2867285
