Date,Open,High,Low,Close,Adj Close,Volume
2024-05-02,3040.0,3160.0,3015.0,3130.0,3116.876220703125,134000
2024-05-03,3200.0,3310.0,3170.0,3235.0,3221.43603515625,458000
2024-05-06,3250.0,3360.0,3250.0,3280.0,3266.247314453125,413000
2024-05-07,3345.0,3375.0,3055.0,3275.0,3261.268310546875,913000
2024-05-08,3275.0,3335.0,3160.0,3170.0,3156.70849609375,371000
2024-05-09,3170.0,3195.0,3045.0,3100.0,3087.001953125,266000
2024-05-10,3110.0,3145.0,3010.0,3010.0,2997.37939453125,236000
2024-05-13,3050.0,3135.0,2940.0,3125.0,3111.897216796875,345000
2024-05-14,3130.0,3210.0,3125.0,3205.0,3191.561767578125,232000
2024-05-15,3175.0,3240.0,3175.0,3185.0,3171.645751953125,271000
2024-05-16,3245.0,3415.0,3220.0,3410.0,3395.7021484375,728000
2024-05-17,3390.0,3445.0,3360.0,3415.0,3400.681396484375,415000
2024-05-20,3405.0,3405.0,3270.0,3310.0,3296.12158203125,265000
2024-05-21,3255.0,3260.0,3120.0,3120.0,3106.918212890625,430000
2024-05-22,3145.0,3325.0,3130.0,3300.0,3286.16357421875,463000
2024-05-23,3270.0,3360.0,3270.0,3360.0,3345.911865234375,309000
2024-05-24,3360.0,3695.0,3360.0,3695.0,3679.50732421875,487000
2024-05-27,3810.0,3990.0,3810.0,3830.0,3813.941162109375,754000
2024-05-28,3835.0,3925.0,3830.0,3880.0,3863.731689453125,469000
2024-05-29,3865.0,3965.0,3755.0,3815.0,3799.004150390625,431000
2024-05-30,3750.0,3780.0,3660.0,3750.0,3734.276611328125,268000
2024-05-31,3760.0,3820.0,3630.0,3645.0,3629.717041015625,286000
2024-06-03,3685.0,3880.0,3685.0,3820.0,3803.983154296875,413000
2024-06-04,3840.0,3905.0,3750.0,3780.0,3764.15087890625,491000
2024-06-05,3865.0,4120.0,3805.0,4090.0,4072.85107421875,719000
2024-06-06,4250.0,4465.0,4210.0,4300.0,4281.970703125,749000
2024-06-07,4300.0,4365.0,4175.0,4290.0,4272.0126953125,528000
2024-06-11,4360.0,4715.0,4320.0,4715.0,4695.23046875,623000
2024-06-12,5075.0,5075.0,4590.0,4675.0,4655.3984375,673000
2024-06-13,4690.0,4775.0,4640.0,4675.0,4655.3984375,362000
2024-06-14,4650.0,4755.0,4610.0,4740.0,4720.12548828125,423000
2024-06-17,4740.0,4815.0,4520.0,4590.0,4570.7548828125,455000
2024-06-18,4640.0,4700.0,4610.0,4700.0,4680.29345703125,347000
2024-06-19,4705.0,4900.0,4705.0,4890.0,4869.49658203125,446000
2024-06-20,4835.0,5050.0,4835.0,4985.0,4964.0986328125,378000
2024-06-21,4900.0,5065.0,4890.0,4965.0,4944.18212890625,283000
2024-06-24,4955.0,4955.0,4700.0,4740.0,4720.12548828125,354000
2024-06-25,4845.0,4860.0,4620.0,4770.0,4750.0,334000
2024-06-26,4705.0,4980.0,4705.0,4950.0,4950.0,408000
2024-06-27,4915.0,5000.0,4780.0,4800.0,4800.0,226000
2024-06-28,4880.0,4935.0,4820.0,4840.0,4840.0,252000
2024-07-01,4880.0,4890.0,4700.0,4700.0,4700.0,234000
2024-07-02,4750.0,4755.0,4615.0,4710.0,4710.0,262000
2024-07-03,4850.0,4860.0,4670.0,4690.0,4690.0,164000
2024-07-04,4785.0,4785.0,4300.0,4390.0,4390.0,776000
2024-07-05,4415.0,4540.0,4385.0,4495.0,4495.0,403000
2024-07-08,4565.0,4745.0,4555.0,4615.0,4615.0,518000
2024-07-09,4615.0,4665.0,4500.0,4585.0,4585.0,310000
2024-07-10,4615.0,4620.0,4525.0,4605.0,4605.0,193000
2024-07-11,4615.0,4760.0,4565.0,4750.0,4750.0,291000
2024-07-12,4775.0,4775.0,4505.0,4525.0,4525.0,269000
2024-07-15,4580.0,4590.0,4375.0,4415.0,4415.0,343000
2024-07-16,4495.0,4640.0,4470.0,4640.0,4640.0,305000
2024-07-17,4640.0,4690.0,4560.0,4575.0,4575.0,220000
2024-07-18,4375.0,4375.0,4140.0,4170.0,4170.0,781000
2024-07-19,3955.0,4350.0,3955.0,4265.0,4265.0,679000
2024-07-22,4265.0,4365.0,4045.0,4045.0,4045.0,366000
2024-07-23,4070.0,4195.0,4070.0,4130.0,4130.0,342000
2024-07-26,3800.0,3995.0,3800.0,3965.0,3965.0,609000
2024-07-29,4100.0,4120.0,3895.0,4060.0,4060.0,380000
2024-07-30,3960.0,4145.0,3960.0,4100.0,4100.0,245000
2024-07-31,4050.0,4140.0,4045.0,4080.0,4080.0,194000
2024-08-01,4220.0,4290.0,4100.0,4160.0,4160.0,474000
2024-08-02,4000.0,4085.0,3745.0,3745.0,3745.0,605000
2024-08-05,3400.0,3745.0,3400.0,3645.0,3645.0,1060000
2024-08-06,3800.0,3980.0,3555.0,3825.0,3825.0,621000
2024-08-07,3820.0,4205.0,3795.0,4205.0,4205.0,1051000
2024-08-08,4205.0,4225.0,4065.0,4190.0,4190.0,557000
2024-08-09,4390.0,4395.0,4170.0,4180.0,4180.0,626000
2024-08-12,4230.0,4345.0,4155.0,4315.0,4315.0,460000
2024-08-13,4320.0,4370.0,4200.0,4210.0,4210.0,341000
