Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,99.5,99.9000015258789,98.19999694824219,98.19999694824219,97.16728973388672,2080120
2024-01-03,98.0,98.9000015258789,97.0999984741211,97.80000305175781,96.77149963378906,1538592
2024-01-04,97.80000305175781,98.0,96.5999984741211,97.69999694824219,96.67254638671875,2298898
2024-01-05,97.5999984741211,98.30000305175781,97.0999984741211,97.0999984741211,96.078857421875,1764553
2024-01-08,97.80000305175781,99.5,97.69999694824219,97.80000305175781,96.77149963378906,1669110
2024-01-09,98.5,99.69999694824219,98.30000305175781,98.5999984741211,97.56307983398438,2118360
2024-01-10,98.30000305175781,98.5,95.19999694824219,96.4000015258789,95.38622283935547,3583201
2024-01-11,96.5,97.19999694824219,96.19999694824219,96.19999694824219,95.18831634521484,878471
2024-01-12,96.30000305175781,96.30000305175781,95.19999694824219,95.69999694824219,94.6935806274414,1478310
2024-01-15,96.19999694824219,97.9000015258789,96.0,97.0999984741211,96.078857421875,1267246
2024-01-16,97.0,97.9000015258789,96.30000305175781,97.9000015258789,96.87044525146484,1315049
2024-01-17,97.5,98.0,95.80000305175781,96.0,94.99042510986328,2522200
2024-01-18,96.5,96.69999694824219,94.80000305175781,95.69999694824219,94.6935806274414,1675032
2024-01-19,96.4000015258789,98.5,96.4000015258789,98.4000015258789,97.36518859863281,1802293
2024-01-22,98.69999694824219,100.5,98.69999694824219,100.0,98.94835662841797,3176653
2024-01-23,101.5,102.5,100.5,101.5,100.43258666992188,4857872
2024-01-24,101.5,102.0,100.0,100.5,99.44309997558594,2167646
2024-01-25,100.5,102.0,100.5,101.0,99.9378433227539,2337176
2024-01-26,101.0,101.5,98.5999984741211,100.0,98.94835662841797,2838402
2024-01-29,101.0,103.0,101.0,101.5,100.43258666992188,3290485
2024-01-30,103.5,108.0,103.0,103.5,102.41155242919922,17817034
2024-01-31,102.5,102.5,100.5,100.5,99.44309997558594,4370760
2024-02-01,100.0,101.5,99.30000305175781,100.5,99.44309997558594,2346686
2024-02-02,101.0,103.5,100.5,102.5,101.42206573486328,2987235
2024-02-05,102.5,102.5,100.5,101.0,99.9378433227539,2308564
2024-02-15,101.5,102.5,100.0,101.0,99.9378433227539,2625833
2024-02-16,101.5,103.0,101.5,102.0,100.92733001708984,1756551
2024-02-19,103.0,106.5,102.0,104.0,102.90629577636719,4695580
2024-02-20,105.0,105.0,101.5,102.0,100.92733001708984,2635428
2024-02-21,102.5,103.0,101.0,101.5,100.43258666992188,2222609
2024-02-22,102.0,102.5,100.5,100.5,99.44309997558594,1465048
2024-02-23,101.0,101.5,98.80000305175781,98.80000305175781,97.76097869873047,2942250
2024-02-26,98.80000305175781,100.5,98.80000305175781,99.19999694824219,98.15676879882812,2148810
2024-02-27,99.9000015258789,99.9000015258789,96.0,96.19999694824219,95.18831634521484,4503362
2024-02-29,96.4000015258789,97.4000015258789,95.4000015258789,96.69999694824219,95.68305969238281,2745540
2024-03-01,97.19999694824219,98.5,96.69999694824219,96.9000015258789,95.8809585571289,2426106
