Date,Open,High,Low,Close,Adj Close,Volume
2024-03-01,110.0,110.5,109.0,110.0,104.65587615966797,79000
2024-03-04,110.0,112.0,108.5,108.5,103.22874450683594,192000
2024-03-05,109.0,109.5,107.0,107.0,101.80162048339844,357000
2024-03-06,107.0,108.0,107.0,107.5,102.27732849121094,127000
2024-03-07,108.5,109.0,107.5,109.0,103.70445251464844,70000
2024-03-08,108.0,110.5,108.0,108.0,102.75303649902344,155000
2024-03-11,109.0,111.0,109.0,111.0,105.60729217529297,140000
2024-03-12,113.0,118.0,113.0,118.0,112.2672119140625,409000
2024-03-13,118.0,120.0,115.0,116.5,110.84008026123047,263000
2024-03-14,117.0,120.0,116.0,117.0,111.3157958984375,215000
2024-03-15,117.0,118.5,113.0,117.5,111.79150390625,350000
2024-03-18,117.5,117.5,117.5,117.5,111.79150390625,0
2024-03-19,120.5,121.0,118.5,120.0,114.1700439453125,149000
2024-03-20,119.0,119.0,117.5,118.0,112.2672119140625,125000
2024-03-21,119.5,120.0,118.5,120.0,114.1700439453125,236000
2024-03-22,120.0,120.5,117.5,118.0,112.2672119140625,73000
2024-03-25,118.0,118.0,118.0,118.0,112.2672119140625,0
2024-03-26,117.5,118.0,116.0,117.5,111.79150390625,69000
2024-03-27,118.0,119.0,118.0,119.0,113.2186279296875,78000
2024-03-28,119.5,119.5,118.5,118.5,112.742919921875,54000
2024-03-29,118.0,119.0,118.0,118.0,112.2672119140625,19000
2024-04-01,119.0,119.0,117.5,117.5,111.79150390625,39000
2024-04-02,118.5,119.0,117.5,118.0,112.2672119140625,47000
2024-04-03,120.0,124.0,116.0,119.0,113.2186279296875,173000
2024-04-08,119.0,122.5,118.5,121.5,115.59716796875,304000
2024-04-09,122.0,123.0,120.0,122.0,116.0728759765625,100000
2024-04-10,123.0,123.0,122.0,122.0,116.0728759765625,79000
2024-04-11,119.5,120.5,118.0,118.5,112.742919921875,135000
2024-04-12,118.5,120.5,118.5,119.5,113.6943359375,57000
2024-04-15,119.5,122.5,119.5,119.5,113.6943359375,185000
2024-04-16,119.5,121.5,118.0,120.0,114.1700439453125,196000
2024-04-17,120.0,122.5,118.5,121.5,115.59716796875,92000
2024-04-18,121.5,121.5,120.0,121.0,115.1214599609375,48000
2024-04-19,120.0,120.0,117.0,120.0,114.1700439453125,154000
2024-04-22,120.0,122.5,120.0,120.0,114.1700439453125,65000
2024-04-23,120.0,121.0,119.5,121.0,115.1214599609375,33000
2024-04-24,122.0,122.5,121.0,122.5,116.548583984375,41000
2024-04-25,122.5,124.0,121.5,122.0,116.0728759765625,87000
2024-04-26,123.0,123.0,122.0,123.0,117.0242919921875,47000
2024-04-29,123.5,127.0,123.5,126.0,119.87854766845703,525000
2024-04-30,126.0,126.5,124.0,126.5,120.35425567626953,42000
2024-05-02,126.0,126.0,125.0,125.0,118.92713165283203,46000
2024-05-03,125.5,126.0,122.5,122.5,116.548583984375,87000
2024-05-06,123.0,126.0,122.5,123.5,117.5,116000
