Price,Close,High,Low,Open,Volume
Ticker,3653.TW,3653.TW,3653.TW,3653.TW,3653.TW
Date,,,,,
2024-01-02,728.3267822265625,766.0330734045044,725.349969765146,762.0639901226158,1228867
2024-01-03,700.543212890625,734.2804214434314,697.5664003712598,726.3422547251239,1914616
2024-01-04,696.5740966796875,709.4736169885706,693.5972843007145,696.5740966796875,1011559
2024-01-05,694.589599609375,707.4891207449776,691.6127870396205,705.504579031808,661195
2024-01-08,695.5818481445312,705.5045563919567,693.5973064950462,698.5586606187588,581909
2024-01-09,696.5740966796875,718.4040541254897,695.5818258866965,704.5122630236156,750148
2024-01-10,707.4890747070312,709.4736162910622,694.5895544108301,704.5122623309849,471201
2024-01-11,701.5354614257812,713.442711124663,697.5663781928207,710.4658986999426,612023
2024-01-12,700.543212890625,731.303608924066,692.6050461723177,704.5122962497787,1445100
2024-01-15,694.589599609375,711.458204171317,691.6127870396205,706.4968498883928,959301
2024-01-16,711.4581909179688,720.3886284608722,690.6205033178609,694.5895866702624,901150
2024-01-17,725.3499755859375,738.2494963555916,710.4659131594134,710.4659131594134,1819248
2024-01-18,700.543212890625,737.2572339627966,698.5586712110481,725.3499838853355,1016031
2024-01-19,727.3345336914062,734.2804296475315,708.4813875247804,714.4350126300307,1434045
2024-01-22,743.2108764648438,744.2031473279477,710.4659379824141,727.3345426551808,1736900
2024-01-23,748.1721801757812,753.1335341557268,733.2881182359448,753.1335341557268,1289745
2024-01-24,719.3963623046875,755.1181127087824,716.419549771013,755.1181127087824,1605126
2024-01-25,717.4118041992188,736.2649498144126,717.4118041992188,726.3422415958895,775428
2024-01-26,723.3654174804688,742.218562792031,720.3886050628537,725.3499590922122,1129049
2024-01-29,710.4659423828125,727.334547160058,706.4968589058136,721.3809219445596,725069
2024-01-30,746.1876831054688,752.1413082366294,713.4427448840852,713.4427448840852,1851244
2024-01-31,744.203125,748.1722083333333,729.3190625,736.2649583333333,961007
2024-02-01,750.15673828125,766.0330713665675,736.2649468315973,743.2108425564236,1260556
2024-02-02,814.6543579101562,823.5847954511933,764.048545177613,764.048545177613,3877601
2024-02-05,821.6002197265625,822.5924905233337,798.7779914008247,811.6775117588504,1092049
2024-02-15,842.4379272460938,858.314260386185,828.5461357485138,828.5461357485138,1593824
2024-02-16,852.3606567382812,853.3529275843096,821.6002605114049,850.3761150462248,1365257
2024-02-19,825.5693359375,843.4302109938402,822.59252342811,837.4765859750601,1307192
2024-02-20,813.6620483398438,825.5692978277439,800.7625280612853,825.5692978277439,1186857
2024-02-21,798.7780151367188,807.70845257303,790.8398485266645,793.8166610054349,1131144
2024-02-22,832.5151977539062,833.5074685497989,806.7161570606982,806.7161570606982,1299395
2024-02-23,848.3915405273438,869.2292274876645,841.4456448739035,846.4069989120751,1502508
2024-02-26,907.9277954101562,917.8505035567154,828.5461302376835,844.4224632721781,2238201
2024-02-27,894.0360107421875,916.8582396512555,879.1519484101866,904.9509897856549,1094138
2024-02-29,911.8969116210938,930.7500577808335,876.1751610026396,886.0978695077658,1506142
2024-03-01,954.5645141601562,986.3171799118454,932.7345564558699,938.6881812843117,2010519
2024-03-04,972.4254150390625,997.2321858308753,952.5799984056122,981.3558525241151,1878396
2024-03-05,945.6340942382812,989.2940104465545,942.6572817695353,988.3017396236392,1587811
2024-03-06,988.3017578125,1022.0389664125252,940.672757435994,945.63411164188,2919732
2024-03-07,974.4099731445312,1027.0003281105803,967.4640772056191,997.2322026580997,2306751
2024-03-08,926.7809448242188,997.2321729639613,923.8041323676099,977.386756586569,2164603
2024-03-11,944.641845703125,959.5259083980271,922.8118870839351,923.8041579302619,934226
2024-03-12,987.3094482421875,997.232156264722,940.6727205362752,942.657262140782,1859521
2024-03-13,975.4022216796875,1022.0389504883807,973.4176800282538,997.2321798454587,1282262
2024-03-14,903.958740234375,991.2785746368174,886.0978650156936,972.4254285726537,2527653
2024-03-15,899.9896240234375,923.804123446329,883.1210202655561,895.0282699770019,1473378
2024-03-18,931.7423095703125,938.6882053818057,902.966455494126,902.966455494126,1003189
2024-03-19,898.005126953125,931.7423361425242,896.0205852361015,927.7732527084772,922283
2024-03-20,838.4688720703125,903.9587484687038,832.5152469431861,902.9664776141827,2631593
2024-03-21,869.229248046875,888.082393837846,835.4920397893479,857.3219980736302,1836642
2024-03-22,882.1287841796875,899.9896594499173,872.2060756962264,875.1828882412648,968302
2024-03-25,892.0514526367188,914.8736811246437,891.0591818328959,896.0205358520101,880787
2024-03-26,866.25244140625,906.9355457563718,861.2910872172108,896.0205665404854,648542
2024-03-27,894.0360107421875,901.9741773192546,860.2988027896521,868.2369693667192,878151
2024-03-28,896.0205688476562,916.8582564952761,889.0746729651163,898.0051105283819,776134
2024-03-29,914.8737182617188,925.7886975468368,903.9587389766007,903.9587389766007,607000
2024-04-01,920.8273315429688,924.796414868585,904.9509982405037,915.8659773859484,552611
2024-04-02,886.0978393554688,938.6881926430834,880.1442144549841,931.7422969258513,1307754
2024-04-03,922.8118896484375,928.7655147429435,883.1210556850639,888.0824099304855,1505447
2024-04-08,917.8505249023438,954.5645458984375,911.8968998759502,935.7113999815246,1459594
2024-04-09,904.9509887695312,926.7809468319541,878.1596766020122,926.7809468319541,2009789
2024-04-10,898.9973754882812,915.8659796641099,889.0746671495585,909.9123546608763,741407
2024-04-11,898.9973754882812,912.8891671624931,884.1133129801971,898.9973754882812,677021
2024-04-12,912.88916015625,926.7809517238452,900.9819102411685,902.9664518936821,1082465
2024-04-15,889.0746459960938,906.9355205808367,882.1287503242493,903.9587081500463,637235
2024-04-16,851.3683471679688,877.1673879912405,829.5383895482772,877.1673879912405,1216252
2024-04-17,902.9664306640625,912.8891386933379,852.360619714758,852.360619714758,1691266
2024-04-18,928.7655029296875,953.572273841271,885.1055861253005,897.0128361628606,1796574
2024-04-19,899.9896240234375,927.7732066834775,884.1132910748432,920.8273110184675,1284314
2024-04-22,862.2833251953125,914.8736775950266,862.2833251953125,907.9277819950644,1409443
2024-04-23,859.3065185546875,893.0437259806221,846.4069980683007,883.1210179141707,1219321
2024-04-24,935.7113647460938,943.6495311490298,878.159658324807,878.159658324807,1833869
2024-04-25,925.7886962890625,937.695946402105,917.8505295470341,930.7500505028303,739222
2024-04-26,950.595458984375,981.3558548387754,923.8041464660262,938.6882089762199,1885401
2024-04-29,971.4331665039062,972.4254373583535,928.7655197626724,970.440895649459,1183259
2024-04-30,969.4486083984375,984.3326709634084,961.5104416971197,973.4176917490964,642305
2024-05-02,924.79638671875,966.4717603691658,920.8273035139486,959.5258647607632,1316058
2024-05-03,917.8505249023438,941.6650250079181,915.8659832268793,939.6804833324536,638510
2024-05-06,894.0360107421875,940.672739382457,888.0823858093871,929.7577603389897,1558115
2024-05-07,893.0437622070312,908.9200957573785,884.113324584961,894.036033053928,676110
2024-05-08,932.7345581054688,935.7113705249543,874.1905805222532,902.9664339106133,1946180
2024-05-09,972.4254150390625,977.386769197425,926.7809567821269,931.7423109404895,2341087
2024-05-10,934.7191162109375,986.3171990590997,924.7964079709063,977.3867616430716,1878127
2024-05-13,908.9201049804688,946.6263975451607,898.997396410813,946.6263975451607,1197217
2024-05-14,910.9046020507812,918.8427685174547,900.9818939674394,908.9200604341129,650444
2024-05-15,875.182861328125,920.8273189484127,875.182861328125,920.8273189484127,2216236
2024-05-16,912.88916015625,916.8582434612772,885.1055770210598,886.0978478473166,1267291
2024-05-17,914.8737182617188,935.7114059878534,903.9587389766007,911.8969057294138,809405
2024-05-20,915.865966796875,935.7113831955072,913.8814251570118,934.7191123755756,704139
2024-05-21,927.773193359375,932.7345473345589,915.8659438189338,915.8659438189338,584079
2024-05-22,923.8041381835938,934.7191172598767,919.8350548831271,930.7500339594102,460675
2024-05-23,962.502685546875,976.394476884665,918.8427699138209,928.7654780122423,1716612
2024-05-24,983.3403930664062,997.2321846939841,957.541351472333,959.5258931334156,1269286
2024-05-27,997.232177734375,1027.0003024428638,992.2708236162935,997.232177734375,834278
2024-05-28,1031.961669921875,1041.8843782865085,989.2940239539513,997.2321906456581,900287
2024-05-29,1076.6138916015625,1101.420663297451,1041.8844112273187,1051.807119905674,1352955
2024-05-30,1041.8843994140625,1071.652525111607,1022.0389822823661,1066.691170828683,642171
2024-05-31,1027.0003662109375,1066.6912016200558,1007.1549485063783,1051.8071383416363,670113
2024-06-03,1007.1549072265625,1036.9230325633082,997.2321987809806,1031.9616783405172,646405
2024-06-04,997.232177734375,1027.0003024428638,992.2708236162935,1007.1548859705379,435179
2024-06-05,1002.1935424804688,1007.1548966511642,968.4563341197402,997.2321883097734,721397
2024-06-06,981.3558349609375,1027.0002924009812,978.3790225191956,1012.1162301922712,708300
2024-06-07,984.3326416015625,1007.1548701870826,972.4253919047694,972.4253919047694,523583
2024-06-11,1007.1549072265625,1012.1162614493535,970.4408859779095,985.3249486462823,552420
2024-06-12,1022.0389404296875,1022.0389404296875,978.3790245278368,997.2321700309087,534209
2024-06-13,1041.8843994140625,1051.8071079799106,1027.0003365652901,1027.0003365652901,670802
2024-06-14,1071.6524658203125,1086.5365278455947,1027.000279744466,1046.8456957781757,677115
2024-06-17,1056.7684326171875,1081.5752033359008,1046.8457243297023,1081.5752033359008,561836
2024-06-18,1007.1549072265625,1071.6525121228449,997.2321987809806,1071.6525121228449,897178
2024-06-19,1002.1935424804688,1027.0003133339458,997.2321883097734,1012.1162508218596,755323
2024-06-20,997.232177734375,1027.0003024428638,992.2708236162935,1012.1162400886194,890205
2024-06-21,997.232177734375,1002.1935318524564,974.4099487912002,984.3326570273631,907041
2024-06-24,992.2708129882812,1002.1935211181641,979.3712924194335,991.278542175293,500332
2024-06-25,982.34814453125,1002.1935615924874,980.3636028251262,991.2785822088068,592748
2024-06-26,1061.729736328125,1066.6910902362004,992.2707816150701,992.2707816150701,1039360
2024-06-27,1151.0341796875,1165.918242355873,1046.8457410088902,1046.8457410088902,2075412
2024-06-28,1190.7249755859375,1195.6863296508789,1155.9954971313477,1160.956851196289,1805155
2024-07-01,1160.9569091796875,1200.6477436815571,1155.9955548669539,1190.7250350560898,837738
2024-07-02,1131.188720703125,1160.9568449321546,1116.3046585886102,1151.0341368558113,939563
2024-07-03,1160.9569091796875,1200.6477436815571,1146.0728462414863,1146.0728462414863,577060
2024-07-04,1205.6090087890625,1205.6090087890625,1160.9568232783565,1175.8408851152585,814033
2024-07-05,1309.7974853515625,1324.681547685103,1205.6090490167792,1205.6090490167792,1008109
2024-07-08,1309.7974853515625,1314.7588394627428,1260.1839442397609,1309.7974853515625,726635
2024-07-09,1265.145263671875,1319.720157398897,1245.2998477711396,1319.720157398897,947262
2024-07-10,1265.0,1290.0,1245.0,1275.0,790774
2024-07-11,1285.0,1330.0,1280.0,1285.0,719659
2024-07-12,1270.0,1285.0,1225.0,1270.0,457099
2024-07-15,1275.0,1290.0,1260.0,1275.0,321188
2024-07-16,1240.0,1280.0,1235.0,1275.0,379546
2024-07-17,1175.0,1260.0,1165.0,1235.0,1095858
