Date,Open,High,Low,Close,Adj Close,Volume
2024-05-02,425.0,434.5,417.5,426.0,426.0,5395802
2024-05-03,435.0,435.0,417.5,423.0,423.0,4139897
2024-05-06,423.0,425.5,398.5,404.0,404.0,3777469
2024-05-07,408.0,413.5,395.0,410.0,410.0,2681623
2024-05-08,407.0,408.5,401.0,407.0,407.0,1281214
2024-05-09,408.0,420.0,405.0,416.0,416.0,2960372
2024-05-10,419.5,421.0,405.5,414.5,414.5,2142050
2024-05-13,410.5,417.0,402.0,412.5,412.5,2030295
2024-05-14,410.0,414.0,403.0,413.5,413.5,1822398
2024-05-15,407.5,413.0,398.5,410.0,410.0,3071174
2024-05-16,428.0,451.0,426.0,450.0,450.0,7960209
2024-05-17,445.0,453.5,431.0,443.0,443.0,3844061
2024-05-20,441.0,443.0,419.5,420.0,420.0,3013590
2024-05-21,420.0,428.5,415.5,419.0,419.0,2291037
2024-05-22,419.0,443.0,416.5,439.0,439.0,3486538
2024-05-23,438.0,480.0,437.0,478.0,478.0,5918923
2024-05-24,468.0,478.5,463.5,476.5,476.5,2578250
2024-05-27,479.0,486.5,466.0,478.0,478.0,2625028
2024-05-28,485.0,515.0,478.0,505.0,505.0,4764394
2024-05-29,497.0,499.5,470.0,470.0,470.0,6609954
2024-05-30,461.0,476.5,453.0,468.0,468.0,3633700
2024-05-31,468.0,490.5,465.5,472.0,472.0,4716071
2024-06-03,482.0,492.0,468.5,471.0,471.0,2291432
2024-06-04,466.0,479.5,460.5,461.5,461.5,1867074
2024-06-05,461.5,472.0,454.0,462.0,462.0,1407147
2024-06-06,468.5,476.0,457.0,457.5,457.5,1773129
2024-06-07,460.0,493.5,453.0,491.0,491.0,3646206
2024-06-11,484.0,498.0,479.0,482.0,482.0,3159308
2024-06-12,480.0,495.0,478.5,484.0,484.0,1378300
2024-06-13,490.0,510.0,488.0,501.0,501.0,4493754
2024-06-14,505.0,527.0,501.0,526.0,526.0,3723640
2024-06-17,530.0,548.0,521.0,525.0,525.0,3444699
2024-06-18,520.0,525.0,502.0,510.0,510.0,2776092
2024-06-19,517.0,524.0,505.0,505.0,505.0,1509400
2024-06-20,516.0,528.0,510.0,520.0,520.0,1630546
2024-06-21,513.0,529.0,501.0,517.0,517.0,1813031
2024-06-24,517.0,517.0,505.0,507.0,507.0,1465562
2024-06-25,510.0,510.0,496.0,500.0,500.0,1528039
2024-06-26,503.0,506.0,484.0,485.5,485.5,2549060
2024-06-27,479.5,479.5,462.0,466.5,466.5,3128112
2024-06-28,470.5,476.5,461.5,462.0,462.0,3036733
2024-07-01,462.0,465.5,442.0,444.5,444.5,3184377
2024-07-02,449.0,453.5,435.0,440.0,440.0,2213250
2024-07-03,449.5,458.0,447.0,452.5,452.5,1403188
2024-07-04,456.0,458.0,427.5,429.0,429.0,3752925
2024-07-05,433.0,435.0,423.0,429.5,429.5,2401100
2024-07-08,434.0,435.0,418.0,425.5,425.5,4010042
2024-07-09,426.5,428.0,414.0,426.5,426.5,2481468
2024-07-10,427.0,438.0,425.0,430.0,430.0,2254023
2024-07-11,436.0,460.0,434.5,451.5,451.5,4260442
2024-07-12,447.0,454.0,439.0,451.0,451.0,2346489
2024-07-15,458.0,460.0,442.0,443.5,443.5,1869345
2024-07-16,449.0,485.5,443.5,474.0,474.0,5031614
2024-07-17,474.0,499.5,471.0,488.0,488.0,5283625
2024-07-18,480.5,480.5,459.0,462.5,462.5,3122037
