Date,Open,High,Low,Close,Adj Close,Volume
2024-03-01,163.5,178.5,163.5,176.0,173.75537109375,14085185
2024-03-04,178.5,184.0,172.5,181.0,178.6916046142578,10162581
2024-03-05,184.5,190.0,182.5,188.5,186.095947265625,15039697
2024-03-06,187.0,187.0,179.5,180.5,178.19796752929688,6704356
2024-03-07,184.5,188.0,181.0,184.0,181.65333557128906,9210949
2024-03-08,185.5,185.5,166.0,170.5,168.3255157470703,10703701
2024-03-11,169.5,177.5,167.0,171.5,169.31275939941406,4823347
2024-03-12,176.0,179.0,173.5,178.0,175.7298583984375,5525987
2024-03-13,179.0,182.0,173.5,175.0,172.7681121826172,5115437
2024-03-14,176.5,178.0,172.5,173.5,171.28724670410156,2301595
2024-03-15,173.0,175.5,171.5,173.0,170.7936248779297,1897264
2024-03-18,174.5,175.5,171.5,175.5,173.26174926757812,1906067
2024-03-19,174.5,181.0,172.5,173.5,171.28724670410156,3443048
2024-03-20,173.5,173.5,169.0,172.0,169.80638122558594,3014646
2024-03-21,173.0,178.5,169.5,177.0,174.74261474609375,3762526
2024-03-22,175.5,184.5,175.5,184.0,181.65333557128906,5280365
2024-03-25,186.5,187.0,178.0,178.0,175.7298583984375,3395114
2024-03-26,181.5,184.0,174.5,176.5,174.24899291992188,3518360
2024-03-27,176.0,176.5,173.0,174.5,172.2744903564453,1731291
2024-03-28,174.5,174.5,167.5,168.0,165.85739135742188,3821554
2024-03-29,170.5,171.5,168.5,168.5,166.35101318359375,1373000
2024-04-01,171.0,173.5,166.0,171.0,168.8191375732422,4181311
2024-04-02,171.5,173.0,170.5,172.5,170.3000030517578,1272200
2024-04-03,171.5,173.5,169.5,173.5,171.28724670410156,884702
2024-04-08,175.5,177.0,167.5,167.5,165.36376953125,4507028
2024-04-09,168.5,170.0,166.5,168.0,165.85739135742188,1062395
2024-04-10,168.5,169.0,164.0,165.0,162.89566040039062,2166531
2024-04-11,165.5,165.5,161.5,163.5,161.41477966308594,2080883
2024-04-12,164.0,165.0,160.0,161.0,158.94667053222656,2422126
2024-04-15,161.0,164.0,159.0,159.5,157.46580505371094,1720505
2024-04-16,158.5,158.5,152.0,152.0,150.0614471435547,2107175
2024-04-17,152.5,154.0,150.5,151.5,149.5678253173828,2842369
2024-04-18,151.5,157.0,151.5,152.5,150.55506896972656,1896186
2024-04-19,152.0,155.0,142.0,147.0,145.12521362304688,2987584
2024-04-22,147.0,147.5,140.0,142.5,140.6826171875,2261500
2024-04-23,145.0,147.5,144.5,146.0,144.13796997070312,1189333
2024-04-24,149.5,150.0,148.0,149.5,147.5933380126953,1234142
2024-04-25,148.5,148.5,144.5,145.0,143.15072631835938,814037
2024-04-26,145.0,146.0,142.0,143.0,141.17623901367188,2108501
2024-04-29,145.0,153.0,143.5,151.0,149.07420349121094,2359855
2024-04-30,150.0,158.0,149.5,154.5,152.52957153320312,4130059
2024-05-02,153.5,153.5,147.0,148.5,146.60609436035156,2727360
2024-05-03,151.0,153.5,146.0,146.0,144.13796997070312,2276200
2024-05-06,147.0,150.0,147.0,149.5,147.5933380126953,1642025
2024-05-07,149.5,152.5,144.0,144.5,142.6571044921875,2456336
2024-05-08,145.5,147.0,142.5,143.5,141.66986083984375,2448463
2024-05-09,145.0,145.0,139.0,139.5,137.7208709716797,3286300
2024-05-10,141.5,142.5,135.5,135.5,133.77188110351562,2852010
2024-05-13,136.0,139.0,134.0,137.5,135.7463836669922,1823264
2024-05-14,137.5,142.5,137.0,140.0,138.21449279785156,3290473
2024-05-15,142.0,145.5,142.0,143.5,141.66986083984375,2569594
2024-05-16,144.5,147.0,143.0,145.0,143.15072631835938,1674802
2024-05-17,145.0,145.0,143.0,144.0,142.16348266601562,1628744
2024-05-20,144.5,146.5,140.0,140.5,138.70811462402344,2032611
2024-05-21,140.5,142.0,139.5,141.0,139.2017364501953,1750201
2024-05-22,141.0,148.5,140.5,148.0,146.1124725341797,2305283
2024-05-23,146.5,149.0,145.0,145.0,143.15072631835938,1790075
2024-05-24,144.0,145.0,142.0,143.5,141.66986083984375,1273113
2024-05-27,147.5,149.5,145.5,148.5,146.60609436035156,1893072
2024-05-28,150.0,152.5,148.0,150.5,148.58058166503906,2571551
2024-05-29,150.5,151.5,148.5,148.5,146.60609436035156,1140008
2024-05-30,146.5,146.5,144.0,144.0,142.16348266601562,1452388
2024-05-31,143.0,144.5,141.5,141.5,139.6953582763672,1339217
2024-06-03,143.0,144.0,141.0,142.0,140.18899536132812,2108202
2024-06-04,144.0,149.0,143.0,143.5,141.66986083984375,3481001
2024-06-05,144.0,146.5,141.0,144.5,142.6571044921875,1597019
2024-06-06,146.0,151.0,145.0,145.5,143.64434814453125,2436201
2024-06-07,147.5,147.5,140.5,140.5,138.70811462402344,3123618
2024-06-11,140.5,141.5,138.5,140.0,138.21449279785156,1335502
2024-06-12,140.0,141.5,138.0,139.5,137.7208709716797,1009509
2024-06-13,142.5,153.0,142.0,153.0,151.04869079589844,6742667
2024-06-14,158.0,163.0,154.0,158.5,156.47854614257812,16525682
2024-06-17,158.0,167.0,157.5,162.5,160.4275360107422,10175462
2024-06-18,165.0,166.5,161.0,161.5,159.44029235839844,4855794
2024-06-19,163.0,167.5,163.0,164.0,161.9084014892578,8783771
2024-06-20,166.5,167.5,163.0,164.0,161.9084014892578,4380714
2024-06-21,163.5,176.0,160.5,172.5,170.3000030517578,10050117
2024-06-24,170.0,175.0,163.0,172.5,172.5,7529250
2024-06-25,170.5,172.0,162.0,162.0,162.0,6702966
2024-06-26,164.0,169.5,157.0,158.0,158.0,9535811
2024-06-27,158.5,159.5,156.0,157.5,157.5,2480585
2024-06-28,163.5,167.0,159.5,165.0,165.0,12385425
2024-07-01,166.5,167.0,160.0,160.0,160.0,4718469
2024-07-02,161.5,162.5,159.0,159.0,159.0,1947222
2024-07-03,162.0,174.0,161.0,174.0,174.0,12040013
2024-07-04,178.0,179.5,172.5,175.5,175.5,10096591
2024-07-05,179.0,192.5,177.5,188.0,188.0,14308632
2024-07-08,186.0,190.5,176.5,187.0,187.0,6955969
