Price,Close,High,Low,Open,Volume
Ticker,6669.TW,6669.TW,6669.TW,6669.TW,6669.TW
Date,,,,,
2024-01-02,1731.8935546875,1815.5361411354759,1731.8935546875,1800.7756847034802,1575974
2024-01-03,1667.9315185546875,1722.0531902482026,1653.1710626382744,1712.212886303927,2699812
2024-01-04,1638.41064453125,1677.7718612166855,1638.41064453125,1672.8517091310061,1240298
2024-01-05,1682.6920166015625,1692.532320792215,1643.3307998389528,1663.0114082202576,924244
2024-01-08,1663.011474609375,1702.3726929433246,1663.011474609375,1687.6122360680936,1097881
2024-01-09,1687.6121826171875,1741.7338561121992,1672.851726209457,1702.3726390249178,2824370
2024-01-10,1741.73388671875,1781.0951044977046,1702.3726689397952,1707.2928211621645,3072785
2024-01-11,1879.4981689453125,1879.4981689453125,1751.574209802438,1756.4943620771637,4232145
2024-01-12,1874.5780029296875,1904.0989163616512,1840.1369372590634,1859.8175462137058,2753278
2024-01-15,1835.216796875,1909.0190809316355,1820.456340063673,1904.0989286611932,2112193
2024-01-16,1879.4981689453125,1899.1787780442164,1835.216798472779,1835.216798472779,2789158
2024-01-17,1854.8973388671875,1948.3802286244197,1845.0570346822155,1918.8593160695043,3606376
2024-01-18,1849.9771728515625,1894.258541350669,1805.695804352456,1869.6577810733877,2447779
2024-01-19,1958.2205810546875,2007.42210319174,1854.8973845668775,1918.8593633450455,6767954
2024-01-22,2150.1064453125,2150.1064453125,2066.4638604834095,2091.06462072726,4012939
2024-01-23,2184.547607421875,2189.467759690843,2115.6654756563203,2140.2662370011612,4448748
2024-01-24,2091.064697265625,2214.0685029871324,2091.064697265625,2204.2281985294117,3259063
2024-01-25,2061.543701171875,2135.345981643422,2041.8630930461293,2135.345981643422,2761476
2024-01-26,2046.7833251953125,2105.8251518836387,2041.8631729712852,2061.543781867394,1847938
2024-01-29,2155.026611328125,2189.46767589273,2061.5437217956264,2066.463873876284,3476487
2024-01-30,2199.30810546875,2214.068562552433,2135.346124772791,2204.228257829978,2740483
2024-01-31,2164.866943359375,2199.308008367365,2150.106486927379,2169.7870955033736,2019181
2024-02-01,2135.345947265625,2164.866858978975,2071.3839718867007,2145.186251170075,2628586
2024-02-02,2273.1103515625,2307.551417495265,2218.9886765252977,2243.589437905844,3267655
2024-02-05,2228.828857421875,2302.631137468957,2214.0684014124586,2282.950529456402,2161445
2024-02-15,2307.55126953125,2450.235676389259,2233.748990121935,2450.235676389259,5465509
2024-02-16,2248.509521484375,2322.3118033711708,2209.148304478084,2292.7908906164525,2794741
2024-02-19,2214.068359375,2273.1101822916667,2189.467599826389,2233.748967013889,1802514
2024-02-20,2169.787109375,2214.068478954082,2125.5057397959185,2194.3878702522675,2516518
2024-02-21,2120.58544921875,2189.467575179452,2120.58544921875,2145.186208490429,1373525
2024-02-22,2081.224365234375,2214.0684736535904,2081.224365234375,2204.228169326241,2573371
2024-02-23,2135.345947265625,2199.3079226445493,2100.9048836000507,2140.26609921785,3324662
2024-02-26,2184.547607421875,2209.148368766716,2105.825171118384,2135.346084732193,1860659
2024-02-27,2086.14453125,2199.3080317659196,1997.581791715802,2194.3878795695755,4694577
2024-02-29,2292.790771484375,2292.790771484375,2155.0265191205067,2189.467582211474,4954515
2024-03-01,2460.076171875,2469.9164765625,2405.95449609375,2440.3955625,4422181
2024-03-04,2405.954345703125,2514.1976904995845,2381.3535855221116,2499.4372343909763,2608863
2024-03-05,2519.117919921875,2533.8783764839172,2396.1141152381897,2420.7148761749268,3059762
2024-03-06,2519.117919921875,2548.6388330459595,2455.1559414863586,2479.7567024230957,2307414
2024-03-07,2469.916259765625,2543.718538443881,2401.034132999253,2533.8782346201133,2465941
2024-03-08,2405.954345703125,2533.8782986443953,2391.193889594517,2494.5170823547737,2805322
2024-03-11,2391.19384765625,2489.5968866544495,2351.83263205697,2450.23567105517,2797989
2024-03-12,2396.114013671875,2469.91629335376,2366.5931017991206,2425.634925544629,1931633
2024-03-13,2292.790771484375,2450.2356313287955,2243.5892527829933,2435.4751757183813,3381800
2024-03-14,2223.90869140625,2302.6311229604535,2194.387779573424,2287.8706670440406,3056208
2024-03-15,2164.866943359375,2258.349834095348,2155.0266390713778,2204.2281605113635,3237482
2024-03-18,2159.94677734375,2223.9087548049542,2145.186321006549,2179.6273857933516,2117617
2024-03-19,2140.26611328125,2243.5893049568967,2120.5855053430314,2194.3877851113507,3620243
2024-03-20,2159.94677734375,2248.5095153669563,2155.0266252313495,2179.6273857933516,2423110
2024-03-21,2189.4677734375,2228.828991836376,2159.9468596383426,2209.148382636938,1859575
2024-03-22,2258.349853515625,2297.7110710060933,2214.068483838848,2233.749092584082,2325215
2024-03-25,2228.828857421875,2302.631137468957,2228.828857421875,2302.631137468957,1129593
2024-03-26,2189.4677734375,2273.1103625351125,2159.9468596383426,2253.429753335674,1747824
2024-03-27,2150.1064453125,2223.90872604405,2130.42583711742,2194.3878137514303,1837190
2024-03-28,2155.026611328125,2184.547523812072,2066.463873876284,2174.7072196507565,2705589
2024-03-29,2223.90869140625,2273.1102111276273,2159.94671576846,2174.7071716848727,2127000
2024-04-01,2258.349853515625,2273.110310074551,2218.9886360251567,2268.190157888242,1507633
2024-04-02,2204.228271484375,2292.7910145350866,2184.54766191755,2282.950709751674,1870057
2024-04-03,2420.71484375,2420.71484375,2189.4676940421746,2204.228150406504,3446663
2024-04-08,2435.475341796875,2499.4373204703284,2391.193971946023,2479.7567116477276,2707883
2024-04-09,2435.475341796875,2450.2357984138257,2327.2319932725695,2435.475341796875,2145423
2024-04-10,2317.3916015625,2455.1558581309714,2312.4714495421977,2410.8744899482485,1944645
2024-04-11,2287.870849609375,2346.912677986391,2278.030544879872,2327.2320685273858,1154165
2024-04-12,2366.59326171875,2391.194023275078,2317.391738606094,2317.391738606094,1697301
2024-04-15,2381.353515625,2440.395338326446,2332.151996707128,2337.072148598915,2308863
2024-04-16,2268.190185546875,2346.912621487764,2253.4297288079583,2341.992469241459,2253174
2024-04-17,2351.832763671875,2356.7529158971297,2273.1103280677953,2287.8707847435603,1294610
2024-04-18,2460.076171875,2460.076171875,2317.39175390625,2322.31190625,1827424
2024-04-19,2278.030517578125,2455.1560005863594,2223.908842214498,2415.794782140085,2327988
2024-04-22,2125.505615234375,2209.1481973153573,2056.6234888147424,2199.307893541124,3498078
2024-04-23,2095.98486328125,2174.7072994608275,2036.9430361465668,2169.787147199604,2237340
2024-04-24,2253.4296875,2268.1901439683406,2140.2661879093885,2155.026644377729,1980421
2024-04-25,2214.068359375,2273.1101822916667,2174.707144097222,2189.467599826389,1628425
2024-04-26,2287.870849609375,2371.5134398101477,2268.1902401503694,2307.55145906838,1643776
2024-04-29,2322.311767578125,2356.7528319278003,2278.030399128542,2337.072223727986,1074468
2024-04-30,2322.311767578125,2371.5132880776614,2317.3916155281713,2322.311767578125,1252401
2024-05-02,2238.669189453125,2302.6311662946428,2233.749037388393,2302.6311662946428,1058011
2024-05-03,2189.4677734375,2297.71112403441,2189.4677734375,2282.9506671348313,919086
2024-05-06,2248.509521484375,2292.7908906164525,2218.988608729657,2238.669217232802,1405025
2024-05-07,2307.55126953125,2307.55126953125,2218.988534240072,2273.1102058069027,1129718
2024-05-08,2356.7529296875,2509.2776495628914,2322.311863909186,2371.5133864496347,3127410
2024-05-09,2410.87451171875,2504.3574009486606,2351.8326869419643,2371.513295200893,3011438
2024-05-10,2366.59326171875,2464.9963079440618,2341.992500162422,2430.555241765203,1940456
2024-05-13,2346.91259765625,2401.0342718160377,2317.391684478184,2401.0342718160377,1174247
2024-05-14,2430.55517578125,2440.39548013664,2356.7528931158276,2356.7528931158276,1293764
2024-05-15,2553.558837890625,2607.6805088285764,2435.4751922078217,2440.3953441112717,3315070
2024-05-16,2622.441162109375,2671.642684850639,2568.3194870939847,2592.9202484646166,2491722
2024-05-17,2592.920166015625,2622.4410787216852,2558.479101191888,2617.5209266040083,1103405
2024-05-20,2553.558837890625,2612.600660732027,2504.3573188561236,2612.600660732027,1329152
2024-05-21,2524.0380859375,2588.0000647234406,2514.197781508894,2578.1597602948345,894932
2024-05-22,2553.558837890625,2558.478989794075,2509.2774707595736,2533.8782302768245,651303
2024-05-23,2696.243408203125,2696.243408203125,2573.2396030843693,2573.2396030843693,1911445
2024-05-24,2696.243408203125,2819.2472133218807,2656.8821905651234,2656.8821905651234,2132365
2024-05-27,2666.722412109375,2755.2851490428966,2656.8821080056505,2755.2851490428966,1204266
2024-05-28,2642.12158203125,2750.36492431186,2642.12158203125,2691.323101249709,1177438
2024-05-29,2597.84033203125,2676.5627663352275,2597.84033203125,2666.7224620472302,848415
2024-05-30,2602.760498046875,2666.722476259747,2563.3992806851074,2563.3992806851074,1003463
2024-05-31,2430.55517578125,2602.7605020005694,2430.55517578125,2578.159741112095,2765846
2024-06-03,2524.0380859375,2573.239608080531,2460.0761071515594,2469.916411580166,1424745
2024-06-04,2494.51708984375,2568.319370608358,2474.836481639855,2553.5589144554365,953347
2024-06-05,2484.6767578125,2519.1178217821785,2440.395389851485,2504.3573657951733,721206
2024-06-06,2578.15966796875,2617.5208842736165,2553.5589077782083,2558.4790598163167,1135630
2024-06-07,2588.0,2632.2813688212927,2558.4790874524715,2607.680608365019,757114
2024-06-11,2610.0,2625.0,2535.0,2625.0,1162867
2024-06-12,2610.0,2730.0,2570.0,2655.0,1835440
2024-06-13,2715.0,2745.0,2655.0,2655.0,1772558
2024-06-14,2765.0,2765.0,2705.0,2725.0,996615
2024-06-17,2660.0,2740.0,2655.0,2740.0,1041741
2024-06-18,2710.0,2715.0,2605.0,2670.0,1165274
2024-06-19,2965.0,2980.0,2770.0,2830.0,3498364
2024-06-20,2955.0,2975.0,2880.0,2940.0,1678388
2024-06-21,2800.0,2910.0,2790.0,2900.0,1947427
2024-06-24,2665.0,2800.0,2665.0,2800.0,1494865
2024-06-25,2605.0,2620.0,2540.0,2615.0,2202001
2024-06-26,2590.0,2670.0,2565.0,2635.0,1520260
2024-06-27,2555.0,2610.0,2535.0,2565.0,1338750
2024-06-28,2645.0,2655.0,2565.0,2570.0,1547777
2024-07-01,2605.0,2650.0,2575.0,2650.0,1145191
2024-07-02,2615.0,2625.0,2555.0,2595.0,1022189
2024-07-03,2620.0,2685.0,2580.0,2655.0,1220233
2024-07-04,2730.0,2735.0,2640.0,2640.0,1491744
2024-07-05,2725.0,2800.0,2715.0,2800.0,958498
2024-07-08,2770.0,2795.0,2735.0,2745.0,1073528
2024-07-09,2670.0,2755.0,2645.0,2740.0,1629298
2024-07-10,2620.0,2705.0,2620.0,2675.0,1367511
2024-07-11,2525.0,2590.0,2520.0,2580.0,2642584
2024-07-12,2440.0,2485.0,2425.0,2465.0,1789731
2024-07-15,2375.0,2445.0,2370.0,2435.0,1369226
2024-07-16,2460.0,2465.0,2390.0,2405.0,1793541
2024-07-17,2380.0,2480.0,2375.0,2425.0,1638537
2024-07-18,2275.0,2330.0,2250.0,2300.0,2376309
2024-07-19,2205.0,2310.0,2200.0,2250.0,1971041
2024-07-22,2160.0,2220.0,2115.0,2215.0,1652248
2024-07-23,2170.0,2205.0,2130.0,2200.0,1926383
2024-07-26,1975.0,2025.0,1955.0,2000.0,3936931
2024-07-29,1900.0,2050.0,1900.0,2030.0,2318936
2024-07-30,1990.0,2020.0,1935.0,1945.0,3501003
2024-07-31,2030.0,2070.0,1965.0,1980.0,3513319
2024-08-01,2135.0,2205.0,2115.0,2150.0,3499530
2024-08-02,1985.0,2095.0,1945.0,2045.0,2570442
2024-08-05,1790.0,1855.0,1790.0,1850.0,2014552
2024-08-06,1775.0,1865.0,1655.0,1845.0,3642109
2024-08-07,1950.0,1950.0,1730.0,1765.0,2783926
2024-08-08,1905.0,1930.0,1810.0,1880.0,2470124
2024-08-09,1875.0,1980.0,1865.0,1970.0,3949628
2024-08-12,1965.0,1995.0,1890.0,1910.0,1621550
2024-08-13,1950.0,1990.0,1930.0,1990.0,1299623
2024-08-14,1960.0,2025.0,1945.0,2020.0,1571094
2024-08-15,1925.0,2015.0,1925.0,1980.0,1628203
2024-08-16,2025.0,2045.0,1965.0,1965.0,2343247
2024-08-19,1930.0,2030.0,1915.0,2010.0,2774298
2024-08-20,1940.0,1995.0,1935.0,1960.0,1647310
2024-08-21,1890.0,1935.0,1890.0,1910.0,1085283
2024-08-22,1865.0,1900.0,1855.0,1890.0,1650812
2024-08-23,1915.0,1925.0,1820.0,1845.0,1575383
2024-08-26,1910.0,1975.0,1890.0,1920.0,1403530
2024-08-27,1905.0,1920.0,1880.0,1900.0,714471
2024-08-28,1925.0,1935.0,1885.0,1905.0,784735
2024-08-29,1905.0,1920.0,1830.0,1860.0,1594882
2024-08-30,1900.0,1920.0,1870.0,1910.0,1244642
2024-09-02,1855.0,1930.0,1855.0,1925.0,766618
2024-09-03,1840.0,1895.0,1840.0,1860.0,803536
2024-09-04,1675.0,1725.0,1665.0,1715.0,2801229
2024-09-05,1660.0,1700.0,1660.0,1700.0,1208312
2024-09-06,1715.0,1740.0,1655.0,1665.0,1403231
2024-09-09,1715.0,1735.0,1660.0,1665.0,1117310
2024-09-10,1675.0,1760.0,1655.0,1725.0,1313416
2024-09-11,1650.0,1690.0,1635.0,1690.0,2378082
2024-09-12,1815.0,1815.0,1740.0,1760.0,2794204
2024-09-13,1780.0,1845.0,1780.0,1830.0,2558894
2024-09-16,1820.0,1820.0,1780.0,1800.0,1039387
2024-09-18,1715.0,1790.0,1705.0,1790.0,2503779
2024-09-19,1820.0,1830.0,1725.0,1740.0,1797894
2024-09-20,1770.0,1870.0,1770.0,1850.0,1373367
2024-09-23,1775.0,1815.0,1770.0,1805.0,971560
2024-09-24,1795.0,1805.0,1765.0,1780.0,1684228
2024-09-25,1825.0,1875.0,1815.0,1825.0,2222068
2024-09-26,1825.0,1840.0,1810.0,1830.0,1344415
2024-09-27,1825.0,1880.0,1790.0,1835.0,2066996
2024-09-30,1715.0,1830.0,1715.0,1830.0,1906921
2024-10-01,1755.0,1780.0,1725.0,1730.0,1055201
2024-10-04,1730.0,1785.0,1730.0,1760.0,1653757
2024-10-07,1705.0,1775.0,1700.0,1765.0,1453449
2024-10-08,1745.0,1760.0,1705.0,1705.0,937474
2024-10-09,1805.0,1875.0,1790.0,1790.0,2127807
2024-10-11,1895.0,1905.0,1830.0,1840.0,2425919
2024-10-14,1990.0,2005.0,1910.0,1910.0,3808998
2024-10-15,1965.0,2025.0,1950.0,2020.0,2794526
2024-10-16,1930.0,1955.0,1900.0,1910.0,1611121
2024-10-17,1950.0,1965.0,1905.0,1950.0,1088371
2024-10-18,1935.0,1995.0,1920.0,1980.0,1446000
2024-10-21,1975.0,1990.0,1940.0,1940.0,1055584
2024-10-22,2025.0,2045.0,1960.0,1965.0,2189034
2024-10-23,2045.0,2060.0,2020.0,2025.0,1614919
2024-10-24,1985.0,2035.0,1985.0,2035.0,1552784
2024-10-25,1980.0,2010.0,1965.0,1995.0,991413
2024-10-28,1970.0,2025.0,1960.0,2005.0,760758
2024-10-29,1920.0,1955.0,1895.0,1955.0,1005681
2024-10-30,1905.0,1950.0,1905.0,1920.0,1081803
2024-11-01,1865.0,1885.0,1820.0,1845.0,1976917
2024-11-04,1960.0,1970.0,1880.0,1880.0,1586170
2024-11-05,1930.0,1970.0,1925.0,1945.0,1112404
2024-11-06,1990.0,2000.0,1950.0,1960.0,1280208
2024-11-07,2000.0,2020.0,1970.0,1995.0,1522031
2024-11-08,2060.0,2075.0,2000.0,2020.0,1679330
2024-11-11,2085.0,2135.0,2070.0,2120.0,2871600
2024-11-12,2100.0,2150.0,2055.0,2075.0,3282311
2024-11-13,2140.0,2150.0,2075.0,2140.0,2370656
2024-11-14,2260.0,2310.0,2175.0,2200.0,4925493
2024-11-15,2160.0,2295.0,2145.0,2295.0,2365505
2024-11-18,2065.0,2170.0,2065.0,2155.0,1796998
2024-11-19,2085.0,2120.0,2060.0,2080.0,1609624
2024-11-20,2080.0,2080.0,2080.0,2080.0,1164226
2024-11-21,2035.0,2085.0,2030.0,2060.0,1495845
2024-11-22,2130.0,2170.0,2075.0,2080.0,2308256
2024-11-25,2200.0,2245.0,2160.0,2165.0,2511484
2024-11-26,2115.0,2140.0,2095.0,2130.0,1835242
2024-11-27,1910.0,2070.0,1910.0,2045.0,5144685
2024-11-28,1980.0,1980.0,1905.0,1980.0,3123258
2024-11-29,1935.0,1975.0,1930.0,1955.0,1971973
2024-12-02,1955.0,1990.0,1945.0,1980.0,1650488
2024-12-03,2020.0,2030.0,1970.0,1985.0,1905952
2024-12-04,2190.0,2210.0,2035.0,2050.0,3820834
2024-12-05,2325.0,2360.0,2230.0,2295.0,5011271
2024-12-06,2410.0,2455.0,2355.0,2375.0,4087571
2024-12-09,2485.0,2545.0,2455.0,2500.0,4890454
2024-12-10,2435.0,2510.0,2415.0,2465.0,2847704
2024-12-11,2480.0,2500.0,2410.0,2410.0,3061674
2024-12-12,2465.0,2520.0,2465.0,2510.0,1825762
2024-12-13,2515.0,2535.0,2470.0,2485.0,2395026
2024-12-16,2500.0,2590.0,2480.0,2520.0,3174931
2024-12-17,2605.0,2645.0,2485.0,2505.0,3196646
2024-12-18,2565.0,2605.0,2500.0,2605.0,2714746
2024-12-19,2670.0,2710.0,2500.0,2500.0,3849238
2024-12-20,2640.0,2720.0,2620.0,2680.0,3505099
2024-12-23,2650.0,2700.0,2595.0,2685.0,1747306
2024-12-24,2535.0,2655.0,2535.0,2655.0,2489335
2024-12-25,2585.0,2610.0,2535.0,2535.0,1260588
2024-12-26,2570.0,2635.0,2555.0,2565.0,1291452
2024-12-27,2595.0,2605.0,2560.0,2565.0,894289
2024-12-30,2550.0,2615.0,2520.0,2590.0,1213648
2024-12-31,2620.0,2625.0,2540.0,2550.0,894091
2025-01-02,2550.0,2675.0,2535.0,2600.0,1883616
2025-01-03,2610.0,2645.0,2545.0,2570.0,1566539
2025-01-06,2700.0,2770.0,2640.0,2685.0,2848242
2025-01-07,2770.0,2770.0,2680.0,2720.0,2384648
2025-01-08,2755.0,2870.0,2730.0,2740.0,2937885
2025-01-09,2615.0,2735.0,2590.0,2725.0,4388450
2025-01-10,2535.0,2680.0,2505.0,2650.0,3017697
2025-01-13,2425.0,2555.0,2410.0,2540.0,2800304
2025-01-14,2440.0,2465.0,2385.0,2435.0,1483695
2025-01-15,2330.0,2435.0,2325.0,2420.0,2172748
2025-01-16,2395.0,2460.0,2330.0,2460.0,2293484
2025-01-17,2415.0,2435.0,2330.0,2405.0,1734354
2025-01-20,2450.0,2480.0,2405.0,2450.0,2163235
2025-01-21,2365.0,2455.0,2340.0,2405.0,2917011
2025-01-22,2240.0,2410.0,2215.0,2360.0,5026087
2025-02-03,2020.0,2020.0,2020.0,2020.0,702119
2025-02-04,2010.0,2140.0,2005.0,2115.0,5377891
2025-02-05,2095.0,2125.0,2055.0,2060.0,2377029
2025-02-06,2120.0,2140.0,2090.0,2110.0,1844301
2025-02-07,2190.0,2205.0,2135.0,2145.0,1857416
2025-02-10,2175.0,2190.0,2130.0,2190.0,1284086
2025-02-11,2225.0,2260.0,2195.0,2225.0,1857735
