Date,Open,High,Low,Close,Adj Close,Volume
2024-05-02,784.0,797.0,765.0,777.0,771.248291015625,1249155
2024-05-03,792.0,809.0,774.0,780.0,774.2261352539062,1259181
2024-05-06,790.0,795.0,761.0,769.0,763.3075561523438,1004066
2024-05-07,769.0,775.0,705.0,718.0,712.68505859375,1851723
2024-05-08,723.0,724.0,664.0,698.0,692.8331298828125,3317090
2024-05-09,705.0,709.0,670.0,670.0,665.0404052734375,1525416
2024-05-10,677.0,678.0,648.0,656.0,651.14404296875,1697709
2024-05-13,658.0,686.0,653.0,654.0,649.1588134765625,1265312
2024-05-14,656.0,699.0,656.0,691.0,685.8849487304688,1905028
2024-05-15,710.0,725.0,661.0,664.0,659.0847778320312,2700804
2024-05-16,675.0,678.0,628.0,638.0,633.2772827148438,3176062
2024-05-17,638.0,646.0,618.0,635.0,630.2994384765625,2764728
2024-05-20,647.0,688.0,640.0,678.0,672.9811401367188,3118814
2024-05-21,674.0,708.0,670.0,672.0,667.0255737304688,2605518
2024-05-22,679.0,716.0,670.0,710.0,704.7442626953125,2798039
2024-05-23,719.0,747.0,711.0,727.0,721.6184692382812,2876128
2024-05-24,720.0,740.0,712.0,720.0,714.6702880859375,1168905
2024-05-27,729.0,750.0,708.0,742.0,736.5073852539062,1316773
2024-05-28,750.0,779.0,745.0,775.0,769.2631225585938,2080918
2024-05-29,784.0,784.0,724.0,738.0,732.5369873046875,2104793
2024-05-30,732.0,735.0,703.0,711.0,705.7368774414062,2240911
2024-05-31,720.0,723.0,700.0,715.0,709.707275390625,2591288
2024-06-03,718.0,722.0,693.0,694.0,688.8627319335938,1414723
2024-06-04,680.0,743.0,680.0,696.0,690.847900390625,2359828
2024-06-05,709.0,709.0,670.0,670.0,665.0404052734375,2261395
2024-06-06,684.0,693.0,663.0,679.0,673.9737548828125,1328392
2024-06-07,680.0,707.0,673.0,705.0,699.7813110351562,1919294
2024-06-11,728.0,775.0,723.0,775.0,769.2631225585938,5072655
2024-06-12,778.0,798.0,757.0,797.0,791.1002807617188,3184576
2024-06-13,805.0,828.0,772.0,803.0,797.0558471679688,7464409
2024-06-14,811.0,841.0,787.0,799.0,793.08544921875,3834574
2024-06-17,799.0,838.0,780.0,812.0,805.9892578125,2456766
2024-06-18,823.0,832.0,796.0,796.0,790.107666015625,1412626
2024-06-19,803.0,813.0,789.0,790.0,784.152099609375,1145185
2024-06-20,800.0,803.0,788.0,795.0,789.1150512695312,800598
2024-06-21,795.0,815.0,783.0,800.0,794.0780639648438,1159446
2024-06-24,803.0,805.0,770.0,770.0,764.3001098632812,1172478
2024-06-25,771.0,781.0,756.0,777.0,771.248291015625,1021211
2024-06-26,785.0,815.0,780.0,794.0,788.1224975585938,1743470
2024-06-27,789.0,794.0,751.0,751.0,745.4407958984375,3223462
2024-06-28,753.0,767.0,742.0,760.0,754.3741455078125,1902674
2024-07-01,759.0,780.0,752.0,757.0,751.3963623046875,1112543
2024-07-02,766.0,775.0,751.0,753.0,747.4259643554688,1322635
2024-07-03,762.0,762.0,743.0,755.0,749.4111938476562,1307908
2024-07-04,760.0,773.0,752.0,764.0,758.3445434570312,1189958
2024-07-05,790.0,799.0,779.0,784.0,778.196533203125,2346275
2024-07-08,795.0,795.0,764.0,784.0,778.196533203125,1348398
2024-07-09,798.0,831.0,792.0,817.0,810.9522094726562,4064132
2024-07-10,815.0,819.0,753.0,767.0,761.3223266601562,3917477
2024-07-11,777.0,777.0,751.0,752.0,746.433349609375,1283432
2024-07-12,745.0,747.0,714.0,719.0,713.6776733398438,2224220
2024-07-15,724.0,737.0,714.0,733.0,727.5740356445312,1048513
2024-07-16,734.0,735.0,716.0,721.0,715.662841796875,840456
2024-07-17,723.0,740.0,720.0,721.0,715.662841796875,592837
2024-07-18,711.0,712.0,692.0,698.0,692.8331298828125,942557
2024-07-19,691.0,700.0,676.0,682.0,676.9515380859375,1108165
2024-07-22,680.0,682.0,626.0,641.0,636.2550659179688,1733055
2024-07-23,670.0,694.0,662.0,693.0,687.8701171875,1041125
2024-07-26,662.0,734.0,657.0,691.0,685.8849487304688,2522909
2024-07-29,710.0,732.0,692.0,698.0,692.8331298828125,1849023
2024-07-30,706.0,721.0,669.0,714.0,708.7146606445312,1471199
2024-07-31,704.0,726.0,701.0,712.0,706.7294921875,701100
2024-08-01,740.0,783.0,733.0,783.0,777.2039184570312,4709744
2024-08-02,725.0,785.0,725.0,744.0,738.4926147460938,4525332
2024-08-05,708.0,709.0,670.0,670.0,665.0404052734375,2077294
2024-08-06,699.0,716.0,631.0,697.0,691.8405151367188,2934347
2024-08-07,694.0,745.0,694.0,720.0,714.6702880859375,1802946
2024-08-08,702.0,727.0,682.0,686.0,680.9219360351562,1559334
2024-08-09,710.0,722.0,693.0,704.0,698.7886962890625,1917175
2024-08-12,713.0,734.0,704.0,707.0,701.7664794921875,1989956
2024-08-13,720.0,751.0,714.0,743.0,737.5,2818246
2024-08-14,748.0,772.0,739.0,749.0,749.0,2537991
2024-08-15,753.0,811.0,745.0,788.0,788.0,4267450
2024-08-16,799.0,810.0,783.0,790.0,790.0,2242002
2024-08-19,794.0,807.0,773.0,795.0,795.0,1606506
2024-08-20,801.0,839.0,791.0,800.0,800.0,4137018
2024-08-21,803.0,828.0,783.0,792.0,792.0,2486514
2024-08-22,807.0,814.0,786.0,786.0,786.0,1493543
2024-08-23,775.0,832.0,773.0,830.0,830.0,2753904
2024-08-26,838.0,846.0,799.0,805.0,805.0,2718250
2024-08-27,812.0,835.0,808.0,835.0,835.0,2437029
2024-08-28,826.0,835.0,803.0,804.0,804.0,1763891
2024-08-29,803.0,809.0,783.0,794.0,794.0,1765998
2024-08-30,798.0,806.0,776.0,801.0,801.0,1859415
2024-09-02,801.0,809.0,773.0,773.0,773.0,1352596
2024-09-03,780.0,784.0,751.0,751.0,751.0,1486493
2024-09-04,700.0,739.0,700.0,708.0,708.0,1507092
2024-09-05,720.0,720.0,677.0,682.0,682.0,2022772
2024-09-06,689.0,704.0,675.0,683.0,683.0,1017173
2024-09-09,704.0,751.0,704.0,751.0,751.0,2935365
2024-09-10,761.0,815.0,754.0,762.0,762.0,6522003
2024-09-11,780.0,790.0,745.0,754.0,754.0,2544819
2024-09-12,782.0,785.0,752.0,762.0,762.0,2109999
2024-09-13,762.0,795.0,762.0,787.0,787.0,2841107
2024-09-16,790.0,806.0,777.0,787.0,787.0,2236306
2024-09-18,786.0,802.0,766.0,766.0,766.0,1798427
2024-09-19,771.0,820.0,768.0,812.0,812.0,4160523
2024-09-20,819.0,820.0,792.0,803.0,803.0,3122592
2024-09-23,819.0,845.0,800.0,805.0,805.0,4258857
2024-09-24,808.0,812.0,780.0,786.0,786.0,1668866
2024-09-25,790.0,794.0,776.0,788.0,788.0,1228976
