Date,Open,High,Low,Close,Adj Close,Volume
2024-03-01,366.0,384.0,366.0,379.0,367.7703552246094,998200
2024-03-04,373.5,376.0,371.5,372.5,361.46295166015625,213045
2024-03-05,369.5,373.5,368.0,370.0,359.0370178222656,137000
2024-03-06,370.0,386.0,370.0,380.5,369.2259216308594,670031
2024-03-07,375.5,383.0,374.5,382.0,370.6814880371094,167184
2024-03-08,376.5,382.0,374.0,375.5,364.3740539550781,392033
2024-03-11,373.0,382.0,373.0,378.5,367.2851867675781,431000
2024-03-12,376.5,384.0,376.0,378.5,367.2851867675781,254100
2024-03-13,375.5,378.0,375.5,377.0,365.8296203613281,268004
2024-03-14,377.0,382.5,359.5,364.0,353.2148132324219,773040
2024-03-15,360.0,362.0,354.0,361.5,350.78887939453125,902039
2024-03-18,362.5,369.0,360.0,361.5,350.78887939453125,264010
2024-03-19,358.0,363.0,354.0,354.0,343.5111083984375,653250
2024-03-20,353.5,356.5,349.0,351.0,340.6000061035156,545020
2024-03-21,354.5,355.5,349.5,355.0,344.4814758300781,446011
2024-03-22,350.0,354.0,348.5,352.5,342.0555419921875,346000
2024-03-25,350.0,351.0,344.0,346.5,336.23333740234375,463177
2024-03-26,347.5,351.0,343.5,345.0,334.77777099609375,619187
2024-03-27,349.0,357.0,348.5,355.0,344.4814758300781,384210
2024-03-28,355.0,361.5,353.5,355.0,344.4814758300781,455000
2024-03-29,357.0,358.0,351.5,354.0,343.5111083984375,63000
2024-04-01,352.0,354.5,348.5,350.5,340.11480712890625,323001
2024-04-02,353.0,353.5,347.0,349.0,338.65924072265625,526041
2024-04-03,348.0,352.0,348.0,348.0,337.6888732910156,280000
2024-04-08,346.5,354.0,346.0,350.0,339.6296081542969,493000
2024-04-09,350.0,360.5,350.0,354.0,343.5111083984375,838006
2024-04-10,354.0,358.0,351.0,353.5,343.0259094238281,234158
2024-04-11,353.5,353.5,347.5,352.5,342.0555419921875,445014
2024-04-12,348.5,353.0,348.5,351.0,340.6000061035156,218008
2024-04-15,355.0,357.0,352.0,357.0,346.4222106933594,345252
2024-04-16,364.0,369.0,357.5,358.0,347.392578125,1036100
2024-04-17,360.5,364.0,357.0,362.0,351.2740783691406,760150
2024-04-18,360.0,368.5,359.0,368.5,357.58148193359375,862038
2024-04-19,368.0,371.5,360.0,365.0,354.1851806640625,959058
